TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
httpanalyzer.HttpPreference,BRANCH,MOSA,59,58,3,3,337,65170,17710,17711,199768,2,2,4,4,1000,0.05084745762711865,0.6931471805599453
com.browsersoft.openhre.hl7.impl.config.HL7SegmentsConfigReaderImpl,BRANCH,MOSA,76,72,10,12,575,237061,29479,29480,202171,4,4,22,22,1000,0.15789473684210525,1.0546324371296927
com.aelitis.azureus.core.networkmanager.impl.TransportImpl,BRANCH,MOSA,95,80,28,62,67,40771,2900,2901,214919,24,24,181,181,1000,0.6526315789473685,1.302592524260528
org.jcvi.jillion.core.residue.nt.DefaultNucleotideCodec,BRANCH,MOSA,74,60,32,73,565,228809,29285,29286,193849,26,26,131,131,1000,0.9864864864864865,2.0043283069576527
com.liferay.portal.events.ServicePreAction,BRANCH,MOSA,496,488,22,1,531,81,26085,26086,202534,1,1,1,1,1000,0.0020161290322580645,0.6931471805599453
weka.attributeSelection.GreedyStepwise,BRANCH,MOSA,162,140,32,156,848,570437,43264,43265,235158,37,37,266,266,1000,0.9629629629629629,1.4675611591096105
com.liferay.portal.service.persistence.GroupFinderImpl,BRANCH,MOSA,212,194,46,100,216,85003,11069,11070,271183,60,60,297,297,1000,0.4716981132075472,0.7616144265649343
com.liferay.portlet.dynamicdatamapping.service.impl.DDMStructureLocalServiceImpl,BRANCH,MOSA,104,74,40,39,386,97405,19498,19499,210935,31,31,145,145,1000,0.375,0.7394186445672482
org.gudy.azureus2.ui.console.commands.Set,BRANCH,MOSA,128,122,14,91,23,13446,1188,1189,203250,8,8,49,49,1000,0.7109375,0.7742919811438788
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,BRANCH,MOSA,1707,1696,42,1041,87,57131,4532,4533,230976,128,128,1156,1156,1000,0.6098418277680141,1.1813977769419222
com.liferay.portlet.documentlibrary.service.impl.DLFolderLocalServiceImpl,BRANCH,MOSA,110,76,49,58,683,184773,35228,35229,207453,43,43,170,170,1000,0.5272727272727272,0.8547118629911282
com.liferay.portlet.asset.service.impl.AssetEntryLocalServiceImpl,BRANCH,MOSA,148,126,38,33,789,243253,41238,41239,225809,25,25,123,123,1000,0.22297297297297297,0.7805150036420039
com.liferay.portlet.documentlibrary.service.http.DLAppServiceHttp,BRANCH,MOSA,415,414,105,0,0,280,50,51,29222,0,0,0,0,1000,0.0,NaN
com.liferay.portlet.shopping.service.impl.ShoppingOrderLocalServiceImpl,BRANCH,MOSA,107,96,20,16,1029,298717,54077,54078,208882,13,13,27,27,1000,0.14953271028037382,0.719980418701717
