TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.aelitis.azureus.plugins.extseed.util.ExternalSeedHTTPDownloaderRange,BRANCH,MOSA,166,142,24,81,206,116628,11243,11244,226902,21,21,144,144,1000,0.4879518072289157,0.6867175973821442
org.gudy.azureus2.core3.disk.impl.DiskManagerUtil,BRANCH,MOSA,314,276,56,59,23,12801,1147,1148,234648,18,18,95,95,1000,0.18789808917197454,0.6408733926119622
com.gbshape.dbe.struts.action.ExportDataAction,BRANCH,MOSA,69,68,2,38,881,566468,48476,48477,189633,10,10,73,73,1000,0.5507246376811594,0.3194401049413271
com.aelitis.azureus.plugins.tracker.local.LocalTrackerPlugin,BRANCH,MOSA,171,148,40,15,366,46693,18186,18187,207805,11,11,25,25,1000,0.08771929824561403,0.7302129636209655
weka.classifiers.bayes.net.search.local.LocalScoreSearchAlgorithm,BRANCH,MOSA,155,144,22,121,1074,459365,55020,55021,234329,38,38,193,193,1000,0.7806451612903226,0.9441091748205189
weka.gui.beans.ClustererPerformanceEvaluator,BRANCH,MOSA,70,62,16,26,229,133069,11783,11784,219672,14,14,60,60,1000,0.37142857142857144,0.8832786369217225
com.aelitis.azureus.core.devices.impl.DeviceDriveManager,BRANCH,MOSA,116,102,18,27,219,89152,10260,10261,198536,9,9,42,42,1000,0.23275862068965517,1.5164894974454124
weka.gui.PropertySheetPanel,BRANCH,MOSA,157,140,24,94,307,68024,15951,15952,197854,17,17,68,68,1000,0.5987261146496815,0.6967056793704429
org.objectweb.asm.jip.commons.AdviceAdapter,BRANCH,MOSA,708,702,21,0,0,0,50,51,10732,0,0,0,0,1000,0.0,NaN
com.aelitis.azureus.core.diskmanager.access.impl.DiskAccessControllerInstance,BRANCH,MOSA,164,138,36,81,9,8671,490,491,258767,19,19,323,323,1000,0.49390243902439024,2.0108231264198597
com.aelitis.azureus.util.MapUtils,BRANCH,MOSA,65,64,9,61,1256,1028407,64891,64892,185916,27,27,98,98,1000,0.9384615384615385,0.09602591943237784
com.liferay.portal.json.jabsorb.serializer.LiferaySerializer,BRANCH,MOSA,63,60,7,12,61,17400,3187,3188,203561,7,7,27,27,1000,0.19047619047619047,0.7235358021437177
corina.gui.ElementsPanel,BRANCH,MOSA,120,94,29,20,678,63159,35412,35413,190831,4,4,8,8,1000,0.16666666666666666,1.627158692466954
weka.gui.graphvisualizer.GraphVisualizer,BRANCH,MOSA,282,266,32,0,0,75,50,51,18640,0,0,0,0,1000,0.0,NaN
