TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.aelitis.azureus.plugins.upnp.UPnPMappingManager,BRANCH,MOSA,94,66,27,57,531,28228,29052,29053,241632,5,5,32,32,1000,0.6063829787234043,2.9120497049266385
com.liferay.portlet.shopping.model.impl.ShoppingItemModelImpl,BRANCH,MOSA,244,158,109,235,348,115782,18006,18007,246402,50,50,333,333,1000,0.9631147540983607,2.9480943220037172
org.mozilla.javascript.Parser,BRANCH,MOSA,739,722,67,317,296,122986,15512,15513,215796,69,69,350,350,1000,0.428958051420839,2.557879529318342
weka.classifiers.rules.DecisionTableHashKey,BRANCH,MOSA,54,52,7,46,799,442703,40813,40814,193281,14,14,65,65,1000,0.8518518518518519,0.5533129036635731
net.sourceforge.squirrel_sql.client.gui.db.SQLAlias,BRANCH,MOSA,75,52,38,75,42,33654,2248,2249,29627,37,37,248,248,1000,1.0,1.575632435037482
com.aelitis.azureus.core.devices.impl.DeviceTivoManager,BRANCH,MOSA,114,106,20,37,506,195828,25572,25573,205812,17,17,76,76,1000,0.32456140350877194,0.8180203213578756
com.liferay.portal.model.impl.TeamModelImpl,BRANCH,MOSA,91,58,45,86,40,22727,1908,1909,312136,27,27,199,199,1000,0.945054945054945,2.334189300623205
dk.statsbiblioteket.summa.common.lucene.distribution.TermStatSource,BRANCH,MOSA,58,54,12,15,212,74686,11166,11167,194617,5,5,28,28,1000,0.25862068965517243,0.6553192727453773
weka.clusterers.MakeDensityBasedClusterer,BRANCH,MOSA,103,88,23,95,491,258275,25662,25663,201349,18,18,58,58,1000,0.9223300970873787,1.1480103669861508
weka.clusterers.Cobweb,BRANCH,MOSA,203,178,47,153,714,356760,37174,37175,205886,30,30,210,210,1000,0.7536945812807881,1.6239916667272192
weka.core.AlgVector,BRANCH,MOSA,70,62,23,70,18,15430,945,946,28455,24,24,301,301,1000,1.0,1.5448009043160693
de.huxhorn.lilith.swing.EventWrapperViewPanel,BRANCH,MOSA,367,318,113,31,73,14983,2421,2422,197272,11,11,75,75,1000,0.08446866485013624,0.7248302996361272
com.liferay.util.bridges.mvc.MVCPortlet,BRANCH,MOSA,80,68,24,20,1171,245411,61389,61390,204418,17,17,68,68,1000,0.25,1.1619743913985399
dk.statsbiblioteket.summa.ingest.split.SBMARCParser,BRANCH,MOSA,100,92,16,1,777,58822,40398,40399,183950,1,1,1,1,1000,0.01,0.0
