TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
org.bouncycastle.asn1.DERObjectIdentifier,BRANCH,MOSA,76,72,12,75,1125,376757,58468,58469,197724,25,25,67,67,1000,0.9868421052631579,0.6756431024059469
org.heal.servlet.userreview.UserReviewDAO,BRANCH,MOSA,69,64,11,9,1211,199543,63343,63344,188452,8,8,22,22,1000,0.13043478260869565,0.6931471805599453
weka.gui.beans.BeanInstance,BRANCH,MOSA,162,152,23,107,90,52175,4693,4694,211448,40,40,233,233,1000,0.6604938271604939,0.4800675729140509
com.aelitis.azureus.core.devices.impl.TranscodeManagerImpl,BRANCH,MOSA,144,122,31,0,0,78,50,51,45731,0,0,0,0,1000,0.0,NaN
com.liferay.portal.service.impl.GroupServiceImpl,BRANCH,MOSA,86,66,26,26,331,109116,16995,16996,214737,24,24,80,80,1000,0.3023255813953488,0.7438303190734659
net.virtualinfinity.atrobots.compiler.AtRobotLineLexer,BRANCH,MOSA,119,116,14,85,1194,293833,63097,63098,187843,23,23,61,61,1000,0.7142857142857143,1.0976539427406176
org.pdfsam.guiclient.dto.PdfSelectionTableItem,BRANCH,MOSA,121,90,33,4,1122,254206,58206,58207,183251,3,3,7,7,1000,0.03305785123966942,0.46209812037329684
com.aelitis.azureus.core.peermanager.messaging.azureus.AZPeerExchange,BRANCH,MOSA,63,52,17,36,645,653659,33160,33161,191084,14,14,106,106,1000,0.5714285714285714,1.2694858635646475
umd.cs.shop.JSListLogicalAtoms,BRANCH,MOSA,58,54,10,51,1808,626087,94480,94481,184897,27,27,94,94,1000,0.8793103448275862,0.4577074005426073
org.pdfsam.guiclient.commons.panels.CloseableTabbedPane,BRANCH,MOSA,101,80,30,74,691,333246,33333,33334,200439,25,25,128,128,1000,0.7326732673267327,1.7457100320340717
visu.handball.moves.model.PassEvent,BRANCH,MOSA,62,58,7,61,1837,1096945,94938,94939,184610,26,26,147,147,1000,0.9838709677419355,0.6766597064027925
com.liferay.portlet.blogs.service.http.BlogsEntryServiceHttp,BRANCH,MOSA,73,72,22,1,1103,298565,57577,57578,198519,1,1,1,1,1000,0.0136986301369863,0.0
com.liferay.portlet.journal.util.JournalUtil,BRANCH,MOSA,222,208,65,85,914,210955,47166,47167,206831,63,63,272,272,1000,0.38288288288288286,0.177008014481752
org.pdfsam.plugin.coverfooter.listeners.RunButtonActionListener,BRANCH,MOSA,125,124,2,2,618,126634,32214,32215,189837,1,1,2,2,1000,0.016,0.6931471805599453
