TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
net.sourceforge.squirrel_sql.fw.sql.ResultSetReader,BRANCH,MOSA,205,200,18,7,505,113009,21487,21488,205776,4,4,13,13,1000,0.03414634146341464,0.34657359027997264
org.firebirdsql.jdbc.parser.JaybirdSqlLexer,BRANCH,MOSA,626,540,94,518,226,75278,11788,11789,236561,146,146,558,558,1000,0.8274760383386581,0.9519711399806992
weka.gui.beans.Saver,BRANCH,MOSA,134,118,29,69,145,57604,7599,7600,257154,23,23,145,145,1000,0.5149253731343284,1.5990742901381239
com.aelitis.azureus.ui.common.table.impl.TableColumnImpl,BRANCH,MOSA,477,428,123,382,284,112233,13808,13809,254258,138,138,867,867,1000,0.80083857442348,2.438694118312882
com.liferay.taglib.util.ThemeUtil,BRANCH,MOSA,96,90,12,18,997,493088,52341,52342,198193,7,7,96,96,1000,0.1875,1.2453691816454469
freemind.view.mindmapview.attributeview.AttributeView,BRANCH,MOSA,71,58,27,4,423,37474,19919,19920,212004,1,1,1,1,1000,0.056338028169014086,1.3862943611198906
com.aelitis.azureus.core.content.AzureusPlatformContentDirectory,BRANCH,MOSA,82,68,18,9,131,28853,6206,6207,200525,6,6,14,14,1000,0.10975609756097561,0.5296756383913243
freemind.main.Base64Coding,BRANCH,MOSA,51,50,3,51,1,1344,102,103,40408,7,7,87,87,1000,1.0,0.41745048341604496
weka.estimators.CheckEstimator,BRANCH,MOSA,382,352,65,305,705,212491,36792,36793,219660,78,78,292,292,1000,0.7984293193717278,1.8093786627107842
weka.experiment.PairedTTester,BRANCH,MOSA,264,226,63,197,952,504861,48239,48240,229186,51,51,314,314,1000,0.7462121212121212,2.0137783548316235
com.aelitis.azureus.util.ImportExportUtils,BRANCH,MOSA,65,54,25,65,182,89500,9489,9490,39498,22,22,186,186,1000,1.0,1.124205605493072
org.objectweb.asm.jip.ClassReader,BRANCH,MOSA,817,804,28,446,24,10608,1298,1299,238173,28,28,131,131,1000,0.5458996328029376,1.6154548257612684
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,BRANCH,MOSA,158,128,49,82,140,40915,6836,6837,254854,35,35,153,153,1000,0.5189873417721519,1.657804854496783
