TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
weka.gui.beans.FlowRunner,BRANCH,MOSA,127,112,24,56,198,73419,10372,10373,257568,23,23,107,107,1000,0.4409448818897638,1.1400141911992514
com.aelitis.azureus.core.subs.impl.SubscriptionBodyImpl,BRANCH,MOSA,71,54,24,26,53,21796,2741,2742,214550,12,12,91,91,1000,0.36619718309859156,1.0338987976834255
weka.core.Attribute,BRANCH,MOSA,335,304,66,262,330,118180,17057,17058,213224,73,73,295,295,1000,0.7820895522388059,1.3513006527276428
org.jsecurity.mgt.DefaultSecurityManager,BRANCH,MOSA,79,54,38,60,6,4782,357,358,269582,24,24,288,288,1000,0.759493670886076,1.9899467442203405
com.eteks.sweethome3d.j3d.Ground3D,BRANCH,MOSA,122,116,10,1,684,189884,31039,31040,193334,1,1,2,2,1000,0.00819672131147541,0.0
de.outstare.fortbattleplayer.gui.battlefield.BattlefieldDrawing,BRANCH,MOSA,84,58,37,57,115,78854,5297,5298,245763,17,17,139,139,1000,0.6785714285714286,2.1862057123395964
freemind.view.mindmapview.EditNodeTextField,BRANCH,MOSA,74,54,22,0,0,129,50,51,28438,0,0,0,0,1000,0.0,NaN
com.liferay.portlet.documentlibrary.service.impl.DLAppHelperLocalServiceImpl,BRANCH,MOSA,155,140,35,39,530,128852,21961,21962,215668,22,22,70,70,1000,0.25161290322580643,0.8215665785814178
dk.statsbiblioteket.summa.ingest.stream.ArchiveReader,BRANCH,MOSA,165,146,40,2,702,110757,36627,36628,185429,1,1,4,4,1000,0.012121212121212121,0.0
com.eteks.sweethome3d.swing.RoomPanel,BRANCH,MOSA,105,66,36,1,825,130358,42443,42444,195921,1,1,1,1,1000,0.009523809523809525,0.6931471805599453
com.aelitis.azureus.core.lws.LightWeightSeed,BRANCH,MOSA,123,80,52,56,250,131854,11742,11743,227162,18,18,189,189,1000,0.45528455284552843,1.6826681960267433
weka.core.neighboursearch.BallTree,BRANCH,MOSA,97,84,25,82,1395,713975,70360,70361,191342,37,37,160,160,1000,0.845360824742268,0.9526781962806494
map.VisibilityMap,BRANCH,MOSA,83,82,7,1,1153,178764,58271,58272,182341,1,1,1,1,1000,0.012048192771084338,0.0
com.eteks.sweethome3d.viewcontroller.HomeController,BRANCH,MOSA,618,508,152,87,321,110657,16861,16862,195728,52,52,313,313,1000,0.1407766990291262,1.7371877966611424
